Metric_ID,H3B_Classification,FCFF_Classification,Cash_Taxonomy,EV_Equity_Classification,Comps_Treatment,Conflict,Status
BS_CURRENT_PORTION_NONCURRENT_ASSETS_FINANCE,FINANCIAL_SERVICES_NET_INVESTMENT,SEPARATE_DELTA,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_CURRENT_PORTION_NONCURRENT_ASSETS_TREASURY,NONOPERATING_INVESTMENT,EXCLUDED,NOT_CASH_TAXONOMY,INCLUDED_SIGN_1,NOT_APPLICABLE,0,PASS
BS_CUSTOMER_DEPOSITS,FINANCIAL_SERVICES_NET_INVESTMENT,SEPARATE_DELTA,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_DERIVATIVE_FINANCIAL_ASSETS,NONOPERATING_INVESTMENT,EXCLUDED,NOT_CASH_TAXONOMY,EXCLUDED_OPERATING_OR_HEDGING,NOT_APPLICABLE,0,PASS
BS_DERIVATIVE_LIABILITIES,HEDGE,EXCLUDED_OR_CFI,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_EMPLOYEE_COMP,OPERATING_NWC_LIABILITY,DELTA_NWC,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_GOODWILL,OPERATING_OR_ACCOUNTING_SUBTOTAL,STATEMENT_SUPPORT,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_INCOME_TAX_PAYABLE,TAX_NONOPERATING_FOR_NWC,EXCLUDED_NOPAT_ACCRUAL_TAX,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_INTANGIBLES,OPERATING_OR_ACCOUNTING_SUBTOTAL,STATEMENT_SUPPORT,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_INVENTORY,OPERATING_NWC_ASSET,DELTA_NWC,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_LOANS_ADVANCES_CURRENT,FINANCIAL_SERVICES_NET_INVESTMENT,SEPARATE_DELTA,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_LONG_TERM_BORROWINGS,FINANCING,EXCLUDED,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_LONG_TERM_INVESTMENTS,OPERATING_OR_ACCOUNTING_SUBTOTAL,STATEMENT_SUPPORT,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_NCI,OPERATING_OR_ACCOUNTING_SUBTOTAL,STATEMENT_SUPPORT,NOT_CASH_TAXONOMY,INCLUDED_SIGN_-1,NOT_APPLICABLE,0,PASS
BS_NOTES_PAYABLE,OPERATING_NWC_LIABILITY,DELTA_NWC,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_NOTES_RECEIVABLE,OPERATING_NWC_ASSET,DELTA_NWC,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_OTHER_CURRENT_ASSETS,OPERATING_OR_ACCOUNTING_SUBTOTAL,STATEMENT_SUPPORT,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_OTHER_CURRENT_ASSETS_HEDGE,HEDGE,EXCLUDED_OR_CFI,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_OTHER_CURRENT_ASSETS_OPERATING,OPERATING_NWC_ASSET,DELTA_NWC,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_OTHER_CURRENT_ASSETS_TREASURY,NONOPERATING_INVESTMENT,EXCLUDED,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_OTHER_CURRENT_LIABILITIES,OPERATING_OR_ACCOUNTING_SUBTOTAL,STATEMENT_SUPPORT,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_OTHER_CURRENT_LIABILITIES_HEDGE,HEDGE,EXCLUDED_OR_CFI,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_OTHER_CURRENT_LIABILITIES_OPERATING,OPERATING_NWC_LIABILITY,DELTA_NWC,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_OTHER_NONCURRENT_FINANCIAL_ASSETS,NONOPERATING_INVESTMENT,EXCLUDED,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_OTHER_PAYABLES,OPERATING_NWC_LIABILITY,DELTA_NWC,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_OTHER_RECEIVABLES,OPERATING_NWC_ASSET,DELTA_NWC,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_OTHER_RESERVES,OPERATING_OR_ACCOUNTING_SUBTOTAL,STATEMENT_SUPPORT,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_OTHER_TAXES_PAYABLE,OPERATING_NWC_LIABILITY,DELTA_NWC,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_PARENT_EQUITY,OPERATING_OR_ACCOUNTING_SUBTOTAL,STATEMENT_SUPPORT,NOT_CASH_TAXONOMY,NOT_LISTED,BOOK_EQUITY_ONLY,0,PASS
BS_PPE,OPERATING_OR_ACCOUNTING_SUBTOTAL,STATEMENT_SUPPORT,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_PREPAYMENTS,OPERATING_NWC_ASSET,DELTA_NWC,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_RECEIVABLES_FINANCING,OPERATING_NWC_ASSET,DELTA_NWC,NOT_CASH_TAXONOMY,EXCLUDED_OPERATING_WORKING_CAPITAL,NOT_APPLICABLE,0,PASS
BS_RESTRICTED_CASH,CASH_TAXONOMY,EXCLUDED_OR_CASH_ROLLFORWARD,RESTRICTED,EXCLUDED_NOT_EQUITY_AVAILABLE,NOT_APPLICABLE,0,PASS
BS_RETAINED_EARNINGS,OPERATING_OR_ACCOUNTING_SUBTOTAL,STATEMENT_SUPPORT,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_SHARE_CAPITAL,OPERATING_OR_ACCOUNTING_SUBTOTAL,STATEMENT_SUPPORT,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_SHORT_TERM_BORROWING,FINANCING,EXCLUDED,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_TAXES_PAYABLE,OPERATING_OR_ACCOUNTING_SUBTOTAL,STATEMENT_SUPPORT,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_TERM_DEPOSITS,CASH_TAXONOMY,EXCLUDED_OR_CASH_ROLLFORWARD,TERM_DEPOSIT,INCLUDED_SIGN_1,NOT_APPLICABLE,0,PASS
BS_TOTAL_ASSETS,OPERATING_OR_ACCOUNTING_SUBTOTAL,STATEMENT_SUPPORT,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_TOTAL_CURRENT_ASSETS,OPERATING_OR_ACCOUNTING_SUBTOTAL,STATEMENT_SUPPORT,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_TOTAL_CURRENT_ASSETS_OTHER_IMMATERIAL_COMPONENTS,OPERATING_OR_ACCOUNTING_SUBTOTAL,STATEMENT_SUPPORT,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_TOTAL_CURRENT_LIABILITIES,OPERATING_OR_ACCOUNTING_SUBTOTAL,STATEMENT_SUPPORT,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_TOTAL_CURRENT_LIABILITIES_OTHER_IMMATERIAL_COMPONENTS,OPERATING_OR_ACCOUNTING_SUBTOTAL,STATEMENT_SUPPORT,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_TOTAL_EQUITY,OPERATING_OR_ACCOUNTING_SUBTOTAL,STATEMENT_SUPPORT,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_TOTAL_LIABILITIES,OPERATING_OR_ACCOUNTING_SUBTOTAL,STATEMENT_SUPPORT,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_TOTAL_NONCURRENT_ASSETS,OPERATING_OR_ACCOUNTING_SUBTOTAL,STATEMENT_SUPPORT,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_TOTAL_NONCURRENT_ASSETS_OTHER_IMMATERIAL_COMPONENTS,OPERATING_OR_ACCOUNTING_SUBTOTAL,STATEMENT_SUPPORT,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_TOTAL_NONCURRENT_LIABILITIES,OPERATING_OR_ACCOUNTING_SUBTOTAL,STATEMENT_SUPPORT,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_TOTAL_NONCURRENT_LIABILITIES_OTHER_IMMATERIAL_COMPONENTS,OPERATING_OR_ACCOUNTING_SUBTOTAL,STATEMENT_SUPPORT,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_TRADING_FINANCIAL_ASSETS,NONOPERATING_INVESTMENT,EXCLUDED,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
BS_TRADING_FINANCIAL_LIABILITIES,FINANCING,EXCLUDED,NOT_CASH_TAXONOMY,INCLUDED_SIGN_-1,NOT_APPLICABLE,0,PASS
BS_TREASURY_SHARES,NONOPERATING_INVESTMENT,EXCLUDED,NOT_CASH_TAXONOMY,NOT_LISTED,NOT_APPLICABLE,0,PASS
