Metric_ID,Unit,Economic_Owner,Formula_Class,Dependencies,Period_Rule,Source_Authority,Materiality,Status
BS_INTANGIBLES,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_INVENTORY,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_LOANS_ADVANCES_CURRENT,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_LONG_TERM_BORROWINGS,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_LONG_TERM_INVESTMENTS,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_NCI,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_NOTES_PAYABLE,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_NOTES_RECEIVABLE,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_OTHER_CURRENT_ASSETS,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_OTHER_CURRENT_ASSETS_HEDGE,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_OTHER_CURRENT_ASSETS_OPERATING,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_OTHER_CURRENT_ASSETS_TREASURY,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_OTHER_CURRENT_LIABILITIES,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_OTHER_CURRENT_LIABILITIES_HEDGE,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_OTHER_CURRENT_LIABILITIES_OPERATING,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_OTHER_NONCURRENT_FINANCIAL_ASSETS,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_OTHER_PAYABLES,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_OTHER_RECEIVABLES,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_OTHER_RESERVES,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_OTHER_TAXES_PAYABLE,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_PARENT_EQUITY,RMB_MILLION,BALANCE_SHEET,SUM,BS_SHARE_CAPITAL;BS_CAPITAL_RESERVE;BS_OTHER_RESERVES;BS_RETAINED_EARNINGS;BS_TREASURY_SHARES,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,MATERIAL,PASS
BS_PPE,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_PREPAYMENTS,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_RECEIVABLES_FINANCING,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_RESTRICTED_CASH,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_RETAINED_EARNINGS,RMB_MILLION,BALANCE_SHEET,ROLLFORWARD,IS_ATTRIBUTABLE_NI;DIVIDENDS,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,MATERIAL,PASS
BS_SHARE_CAPITAL,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_SHORT_TERM_BORROWING,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_TAXES_PAYABLE,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_TERM_DEPOSITS,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_TOTAL_ASSETS,RMB_MILLION,BALANCE_SHEET,SUM,BS_TOTAL_CURRENT_ASSETS;BS_TOTAL_NONCURRENT_ASSETS,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,MATERIAL,PASS
BS_TOTAL_CURRENT_ASSETS,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_TOTAL_CURRENT_ASSETS_OTHER_IMMATERIAL_COMPONENTS,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_TOTAL_CURRENT_LIABILITIES,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_TOTAL_CURRENT_LIABILITIES_OTHER_IMMATERIAL_COMPONENTS,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_TOTAL_EQUITY,RMB_MILLION,BALANCE_SHEET,SUM,BS_PARENT_EQUITY;BS_NCI,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,MATERIAL,PASS
BS_TOTAL_LIABILITIES,RMB_MILLION,BALANCE_SHEET,SUM,BS_TOTAL_CURRENT_LIABILITIES;BS_TOTAL_NONCURRENT_LIABILITIES,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,MATERIAL,PASS
BS_TOTAL_NONCURRENT_ASSETS,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_TOTAL_NONCURRENT_ASSETS_OTHER_IMMATERIAL_COMPONENTS,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_TOTAL_NONCURRENT_LIABILITIES,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_TOTAL_NONCURRENT_LIABILITIES_OTHER_IMMATERIAL_COMPONENTS,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_TRADING_FINANCIAL_ASSETS,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_TRADING_FINANCIAL_LIABILITIES,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
BS_TREASURY_SHARES,RMB_MILLION,BALANCE_SHEET,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
CF_ACQUISITION_PAYMENTS,RMB_MILLION,CASH_FLOW,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
CF_CAPEX,RMB_MILLION,CASH_FLOW,NEGATE,PPE_CAPEX,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,MATERIAL,PASS
CF_CASH_FROM_SALES,RMB_MILLION,CASH_FLOW,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
CF_CASH_TO_EMPLOYEES,RMB_MILLION,CASH_FLOW,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
CF_CASH_TO_SUPPLIERS,RMB_MILLION,CASH_FLOW,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
CF_CFF,RMB_MILLION,CASH_FLOW,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
CF_CFI,RMB_MILLION,CASH_FLOW,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
CF_CFO,RMB_MILLION,CASH_FLOW,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
CF_CLOSING_CASH,RMB_MILLION,CASH_FLOW,ROLLFORWARD,CF_OPENING_CASH;CF_NET_CHANGE_CASH,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,MATERIAL,PASS
CF_DEBT_PROCEEDS,RMB_MILLION,CASH_FLOW,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
CF_DEBT_REPAYMENTS,RMB_MILLION,CASH_FLOW,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
CF_DIVIDENDS_INTEREST,RMB_MILLION,CASH_FLOW,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
CF_FX_EFFECT,RMB_MILLION,CASH_FLOW,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
CF_INVESTMENT_PROCEEDS,RMB_MILLION,CASH_FLOW,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
CF_INVESTMENT_PURCHASES,RMB_MILLION,CASH_FLOW,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
CF_NET_CHANGE_CASH,RMB_MILLION,CASH_FLOW,SUM,CF_CFO;CF_CFI;CF_CFF;CF_FX_EFFECT,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,MATERIAL,PASS
CF_OPENING_CASH,RMB_MILLION,CASH_FLOW,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
CF_TAXES_PAID,RMB_MILLION,CASH_FLOW,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
DIVIDENDS,RMB_MILLION,VALUATION_CASH_FLOW,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
DRV_EFFECTIVE_TAX_RATE_PERCENT,PERCENT,DRIVER_AUTHORITY,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
EBIT,RMB_MILLION,VALUATION_CASH_FLOW,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
EPS_DENOMINATOR_SHARES,SHARES,SHARE_MECHANICS,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
FCFF,RMB_MILLION,VALUATION_CASH_FLOW,ECONOMIC_NWC_AND_FINANCIAL_SERVICES_NET_INVESTMENT,EBIT;DRV_EFFECTIVE_TAX_RATE_PERCENT;PPE_DEPRECIATION;PPE_AMORTIZATION;PPE_CAPEX;BS_AR;BS_NOTES_RECEIVABLE;BS_RECEIVABLES_FINANCING;BS_INVENTORY;BS_CONTRACT_ASSETS;BS_PREPAYMENTS;BS_OTHER_RECEIVABLES;BS_OTHER_CURRENT_ASSETS_OPERATING;BS_AP;BS_CONTRACT_LIABILITIES;BS_NOTES_PAYABLE;BS_EMPLOYEE_COMP;BS_OTHER_PAYABLES;BS_OTHER_CURRENT_LIABILITIES_OPERATING;BS_OTHER_TAXES_PAYABLE;BS_LOANS_ADVANCES_CURRENT;BS_CURRENT_PORTION_NONCURRENT_ASSETS_FINANCE;BS_CUSTOMER_DEPOSITS,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,MATERIAL,PASS
IS_ADJUSTED_ATTRIBUTABLE_NI,RMB_MILLION,INCOME_STATEMENT,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
IS_ADMIN_EXPENSE,RMB_MILLION,INCOME_STATEMENT,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
IS_ASSET_DISPOSAL,RMB_MILLION,INCOME_STATEMENT,GOVERNED_DIRECT_OR_RATIO_DRIVER,,CURRENT_YEAR_WITH_PRIOR_YEAR_WHERE_ROLLFORWARD,H3B_ATTEMPT005_OR_CERTIFIED_UPSTREAM,GOVERNED,PASS
